tweet_text,created_at,n_words,party
@realDonaldTrump the media is strengthening your base They don't get it They're not hurting you they're helping you https://t.co/tx8CqoFwEr,2017-02-17 11:53:08,7,Rep
@bradyboy09 Not at all! Limbaugh has been shit-washing the right-wing's brain since 1980. @rolandscahill @realDonaldTrump,2017-02-17 11:53:15,9,Rep
@realDonaldTrump Press Conf was awesome!  Thank you Mr. President for standing up for us!  And We the People have your back!,2017-02-17 11:53:19,10,Rep
@realDonaldTrump they never are keep heat on go TRUMP,2017-02-17 11:53:36,5,Rep
@Nikluk @MollyBrown28 @upayr @TheDemocrats I'm assuming your remarks are in reference to @HillaryClinton the Elitist Criminal,2016-08-30 14:41:44,5,Dem
I want the wall on the border with Germany similar to one president @realDonaldTrump plans to build between USA and… https://t.co/nH0BvDmLII,2017-02-17 08:46:53,10,Rep
"@realDonaldTrump or transportation of intoxicating liquors within, the importation thereof into,",2017-02-17 08:47:13,6,Rep
@FoxNewsInsider @seanhannity @realDonaldTrump we must recognize that Jim @Acosta was becoming the right CNN guy to deal with Donald,2017-02-17 08:47:27,9,Rep
"@JehsinR @TIME @realDonaldTrump  or you're smart enough to not buy it, but sell it anyway",2017-02-17 08:48:55,6,Rep
"@realDonaldTrump 

It was awesome!

Strong leadership!

Keeping you &amp; your administration in my prayers.",2017-02-17 11:51:39,7,Rep
@realDonaldTrump LOL SOMEONE BLOCKED ME FOR 10 HOURS FOR CALLED A GUY AN IDIOT LOL,2017-02-17 11:51:48,9,Rep
"@DTrumpExposed @realDonaldTrump lol, wow great detailed response.",2017-02-17 11:51:55,5,Rep
Brace yourselves - incoming Friday tweetstorm from the #SoCalledPOTUS  Wasn't yesterday's unhinged presser enough f… https://t.co/d5Jlkhxf2O,2017-02-17 11:52:03,9,Nothing
"@realDonaldTrump  is wasting his time criticizing media. - Australian PM. The sooner @POTUS understands the better
 https://t.co/mTQcLICE1r",2017-02-17 11:52:17,9,Rep
@IngrahamAngle @Morning_Joe @realDonaldTrump Sounds like Joe needs to be put in a strait-jacket! Just saying😏,2017-02-17 11:52:29,8,Rep
@MatthewDicks @realDonaldTrump every Facebook posts and comment I saw  yesterday was extremely positive.,2017-02-17 11:52:39,8,Rep
@realDonaldTrump God bless you Mr. President. You are doing an amazing job. Much love to you and your beautiful family.,2017-02-17 11:52:41,10,Rep
@realDonaldTrump it was one of the best with more smacking down of the dishonest media to come. #Enjoyingmyself #fuckoffliberals #Winning,2017-02-17 11:52:56,6,Rep
This buffoon is on another planet. @VicenteFoxQue &amp; Mexico knows you are FAKE!!! https://t.co/lqJ5jm4xvg,2017-02-17 11:53:03,7,Nothing
@realdonaldtrump Best press conference I've seen in my life time. We need more politicians like Donald Trump.,2017-02-17 11:53:09,11,Rep
